Gene;alias
ADCY6;AC6
ADCY7;KIAA0037
ADCY7;AC7
ADCY8;ADCY3
ADCY8;HBAC1
ADCY8;AC8
ADCY9;AC9
ADCY10;SAC
ADCY10;Sacy
ADCY10;SACI
ADCY10;HCA2
ADCY10;RP1-313L4.2
ADCYAP1;PACAP
ADCYAP1R1;PAC1
ADCYAP1R1;PACAPR
ADCYAP1R1;PAC1R
ADD2;ADDB
ADD3;ADDL
ADGB;C6orf103
ADGB;FLJ23121
ADGB;dJ408K24.1
ADGB;CAPN16
ADGRA1;GPR123
ADGRA1;KIAA1828
ADGRA1-AS1;GPR123-AS1
ADGRA2;GPR124
ADGRA2;TEM5
ADGRA2;DKFZp434C211
ADGRA2;DKFZp434J0911
ADGRA2;KIAA1531
ADGRA2;FLJ14390
ADGRA3;GPR125
ADGRA3;FLJ38547
ADGRA3;PGR21
ADGRB1;BAI1
ADGRB2;BAI2
ADGRB3;BAI3
ADGRB3;KIAA0550
ADGRD1;GPR133
ADGRD1;DKFZp434B1272
ADGRD1;PGR25
ADGRD2;GPR144
ADGRD2;PGR24
ADGRE1;TM7LN3
ADGRE1;EMR1
ADGRE2;EMR2
ADGRE2;CD312
ADGRE3;EMR3
ADGRE4P;GPR127
ADGRE4P;EMR4
ADGRE4P;EMR4P
ADGRE4P;PGR16
ADGRE5;CD97
ADGRE5;TM7LN1
ADGRF1;GPR110
ADGRF1;hGPCR36
ADGRF1;PGR19
ADGRF2;GPR111
ADGRF2;hGPCR35
ADGRF2;PGR20
ADGRF3;GPR113
ADGRF3;hGPCR37
ADGRF3;PGR23
ADGRF4;GPR115
ADGRF4;FLJ38076
ADGRF4;PGR18
ADGRF5;GPR116
ADGRF5;DKFZp564O1923
ADGRF5;KIAA0758
ADGRF5P1;GPR116P1
ADGRF5P2;GPR116P2
ADGRG1;GPR56
ADGRG1;TM7LN4
ADGRG1;TM7XN1
ADGRG2;GPR64
ADGRG2;HE6
ADGRG2;TM7LN2
ADGRG2;EDDM6
ADGRG3;GPR97
ADGRG3;Pb99
ADGRG3;PGR26
ADGRG4;GPR112
ADGRG4;RP1-299I16
ADGRG4;PGR17
ADGRG5;GPR114
ADGRG5;PGR27
ADGRG6;GPR126
ADGRG6;FLJ14937
ADGRG7;GPR128
ADGRG7;FLJ14454
ADGRL1;LPHN1
ADGRL1;KIAA0821
ADGRL1;CIRL1
ADGRL1;LEC2
ADGRL2;LPHH1
ADGRL2;LPHN2
ADGRL2;KIAA0786
ADGRL2;LEC1
ADGRL3;LPHN3
ADGRL3;KIAA0768
ADGRL3;LEC3
ADGRL3-AS1;LPHN3-AS1
ADGRL4;ELTD1
ADGRL4;ETL
ADGRV1;USH2C
ADGRV1;MASS1
ADGRV1;GPR98
ADGRV1;DKFZp761P0710
ADGRV1;KIAA0686
ADGRV1;FEB4
ADGRV1;VLGR1
ADH1A;ADH1
ADH1B;ADH2
ADH1C;ADH3
ADH4;ADH-2
ADH5;FDH
ADH5;ADH-3
ADH5;ADHX
ADH5;GSNOR
ADH5P4;ADH5B
ADH5P4;bA707M13.2
ADH6;ADH-5
ADH7;ADH-4
ADHFE1;ADHFe1
ADHFE1;FLJ32430
ADI1;SIPL
ADI1;MTCBP-1
ADI1;ARD
ADI1;APL1
ADI1;FLJ10913
ADI1;HMFT1638
ADI1;mtnD
ADIG;MGC39724
ADIG;SMAF1
ADIG;RP5-1100H13.2
ADIPOQ;ACDC
ADIPOQ;ACRP30
ADIPOQ;AdipoQ
ADIPOQ;apM1
ADIPOQ;GBP28
ADIPOQ;adiponectin
ADIPOR1;PAQR1
ADIPOR1;ACDCR1
ADIPOR2;PAQR2
ADIPOR2;ACDCR2
ADIRF;C10orf116
ADIRF;APM2
ADIRF;AFRO
ADK;AK
ADM;AM
ADM2;AM2
ADM2;FLJ21135
ADM5;C19orf76
ADM5;AM5
ADNP;KIAA0784
ADNP;ADNP1
ADNP2;ZNF508
ADNP2;KIAA0863
ADO;C10orf22
ADO;FLJ14547
ADORA1;RDC7
ADORA2A;ADORA2
ADORA2A;RDC8
ADORA2A-AS1;C22orf45
ADORA2A-AS1;FLJ34651
ADORA2BP1;ADORA2BP
ADORA3;AD026
ADPGK;DKFZp434B195
ADPGK;ADP-GK
ADPRH;ARH1
ADPRHL1;ARH2
ADPRHL2;ARH3
ADPRHL2;FLJ20446
ADPRM;C17orf48
ADPRM;MDS006
ADRA1A;ADRA1C
ADRA1A;ADRA1L1
ADRA1D;ADRA1R
ADRA1D;ADRA1A
ADRA1D;ADRA1
ADRA2A;ADRA2
ADRA2A;ADRA2R
ADRA2A;ADRAR
ADRA2B;ADRA2L1
ADRA2B;ADRA2RL1
ADRA2B;ADRARL1
ADRA2C;ADRA2L2
ADRA2C;ADRA2RL2
ADRA2C;ADRARL2
ADRB1;ADRB1R
ADRB2;ADRB2R
ADRB2;ADRBR
ADRB2;BAR
ADRB2;B2AR
ADRM1;GP110
ADRM1;Rpn13
ADRM1;ARM1
ADSSL1;FLJ38602
ADTRP;C6orf105
ADTRP;dJ413H6.1
ADTRP;AIG1L
AEBP1;ACLP
AEBP2;MGC17922
AEN;ISG20L1
AEN;FLJ12484
AEN;FLJ12562
AES;GRG5
AES;TLE5
